,Titulo,Visualizaciones,Me Gusta,Descripcion del video
0,Curso Django. Proyecto completo. FIN. Vídeo 70,2333,146,"Descarga del proyecto completo: https://www.pildorasinformaticas.es/archivos/django/ProyectoWeb.zip
Terminamos el proyecto y el curso!! Completamos el sistema de pedidos.
Espero que el curso haya sido de vuestro agrado. ¡Nos vemos en otro curso!"
1,Curso Spring. Seguridad X. Personalizar páginas de error. Vídeo 101,2028,79,"En este vídeo vemos cómo personalizar las páginas de error cuando intentamos acceder a zona restringida por perfil de rol.
Para más cursos, ejercicios y manuales visita: www.pildorasinformaticas.es"
2,Curso Angular. Login II. Vídeo 39,1903,95,"En este vídeo preparamos la app y la BBDD Firebase para poder hacer login. Creamos también un usuario que hará login en el futuro en la app.
Para más cursos, ejercicios y manuales visita: www.pildorasinformaticas.es"
3,Curso POO. Polimorfismo II. Vídeo 12,4010,224,"Explicamos en este vídeo el concepto de polimorfismo, principio de sustitución y enlazado dinámico.
Para más cursos, ejercicio y manuales visita: www.pildorasinformaticas.es"
4,Curso POO. Polimorfismo I. Vídeo 11,2911,224,"En este vídeo vemos lo necesario para poder entender el concepto de polimorfismo que se verá en el siguiente. Explicamos el tipado de datos en los lenguajes fuertemente tipados con Java como ejemplo.
SÁLTATE ESTE EL VÍDEO SI TIENES CONOCIMIENTOS DE PROGRAMACIÓN
Para más cursos, ejercicios y manuales visita: www.pildorasinformaticas.es"
5,Curso Django. Proyecto completo XXXIV. Creando app Pedidos III. Vídeo 69,3283,132,"Continuamos en este vídeo con la aplicación de pedidos creando las vistas de la misma. Procesamos los items del carro y los agregamos a una lista la cual a su vez se insertará en la BBDD.
Para más cursos, ejercicios y manuales visita: https://www.pildorasinformaticas.es"
6,Curso Spring. Seguridad IX. Roles y zonas restringidas. Vídeo 100,2438,98,"En este vídeo vemos cómo crear zonas restringidas en una aplicación web en función del rol o perfil de usuario.
Creamos una zona administradores a la que solo pueden entrar los usuarios con rol administrador.
Para más cursos, ejercicios y manuales visita: https://www.pildorasinformaticas.es"
7,Curso Angular. Login I. Vídeo 38,3022,136,"Comenzamos a ver en este vídeo cómo crear un sistema de login.
creamos el componente Login, el formulario y la ruta, y comprobamos que la aplicación navega al formulario de login.
Para más cursos, ejercicios y manuales visita: https://www.pildorasinformaticas.es"
8,Curso POO. Encapsulamiento II. Vídeo 10,5308,312,"Vemos en este vídeo los métodos de acceso getter/setter para acceder a propiedades encapsuladas. Vemos también la necesidad de encapsular métodos de clase.
Para más cursos, ejercicios y manuales visita: https://www.pildorasinformaticas.es"
9,Curso POO. Encapsulamiento I. Vídeo 9,5367,363,"En este vídeo comenzamos a ver el concepto de ""encapsulamiento"" de la POO. Vemos cuál es su función y un ejemplo sencillo en código Java.
Para más cursos, ejercicios y manuales visita: https://www.pildorasinformaticas.es"
10,Curso Django. Proyecto completo XXXIII. Creando app Pedidos II. Vídeo 68,3842,142,"En este vídeo continuamos con la app de Pedidos. Registramos la app en el panel de administración y creamos botón de procesar pedido en el carro de la tienda.
Para más cursos, ejercicios y manuales visita: https://www.pildorasinformaticas.es"
11,Curso Spring. Seguridad VIII. Roles de usuario. Vídeo 99,2324,85,"Comenzamos a ver en este vídeo cómo gestionar los roles o perfiles de usuario en Spring.
Para más cursos, ejercicios y manuales visita: https://www.pildorasinformaticas.es"
12,Curso Angular. Firebase VI. Eliminando registros. Vídeo 37,2218,102,"En este vídeo completamos el CRUD viendo cómo eliminar registros de la BBDD Firebase.
Para más cursos, ejercicios y manuales visita: https://www.pildorasinformaticas.es"
13,Curso POO. Ejemplo práctico II. Vídeo 7,7870,407,"Continuamos con el ejemplo del vídeo anterior identificando objetos y representándolos con sus propiedades y métodos.

Para más cursos, ejercicios y manuales visita: https://www.pildorasinformaticas.es"
14,Curso POO. Ejemplo práctico III. Vídeo 8,5013,360,"Terminamos (de momento) con el ejemplo práctico creando diagrama UML representando la herencia entre clases de nuestro ejemplo práctico.

Para más cursos, ejercicios y manuales visita: https://www.pildorasinformaticas.es"
